age_GTS2020,age_GTS2020,age_GTS2020,age_GTS2020,age_W2020,temp_benthic,d18Osw_raw,d18Osw_pH
31.494,31.407,31.407,31.37,31.37,7.849987398,0.363539391,-0.072568275
31.59,31.502,31.502,31.47,31.47,7.817319798,0.358812318,-0.078324972
31.686,31.597,31.597,31.57,31.57,7.784392198,0.353143207,-0.084160323
31.782,31.692,31.692,31.67,31.67,7.755718662,0.347842799,-0.091355689
31.878,31.787,31.787,31.77,31.77,7.729499096,0.342879352,-0.098297441
31.974,31.881,31.881,31.87,31.87,7.706592052,0.337099943,-0.105151323
32.07,31.976,31.976,31.97,31.97,7.686696016,0.331248806,-0.111927248
32.166,32.071,32.071,32.07,32.07,7.672098019,0.325463849,-0.119063305
32.263,32.166,32.166,32.17,32.17,7.660705733,0.319999956,-0.126766265
32.359,32.261,32.261,32.27,32.27,7.655697274,0.312606631,-0.134909141
32.455,32.356,32.356,32.37,32.37,7.650791262,0.305004103,-0.144125253
32.551,32.451,32.451,32.47,32.47,7.650202722,0.297043994,-0.153493814
32.647,32.546,32.546,32.57,32.57,7.658128048,0.287602607,-0.163149696
32.743,32.641,32.641,32.67,32.67,7.66714449,0.278608701,-0.173984148
32.839,32.736,32.736,32.77,32.77,7.678610483,0.269320872,-0.184562839
32.935,32.831,32.831,32.87,32.87,7.699114805,0.258952944,-0.196015653
33.031,32.925,32.925,32.97,32.97,7.725433748,0.249041797,-0.208343359
33.128,33.02,33.02,33.07,33.07,7.755674398,0.237501064,-0.221097345
33.224,33.115,33.115,33.17,33.17,7.794612768,0.22506021,-0.23455004
33.318,33.217,33.217,33.27,33.27,7.839892794,0.212264672,-0.248113864
33.41,33.324,33.324,33.37,33.37,7.887199044,0.199212526,-0.26351896
33.502,33.431,33.431,33.47,33.47,7.945826297,0.184696043,-0.280285609
33.594,33.538,33.538,33.57,33.57,8.00756652,0.172880321,-0.293997557
33.686,33.645,33.645,33.67,33.67,8.061711657,0.180773398,-0.28903082
33.771,33.746,33.75,33.77,33.77,8.12264535,0.173834127,-0.297358655
33.847,33.84,33.851,33.87,33.87,8.191742843,0.157120211,-0.315321296
33.923,33.934,33.953,33.97,33.97,8.25238578,0.141589682,-0.331708529
33.999,34.029,34.054,34.07,34.07,8.310943019,0.127736263,-0.34667057
34.075,34.123,34.156,34.17,34.17,8.365882306,0.115619736,-0.360770426
34.151,34.217,34.257,34.27,34.27,8.422268864,0.104358386,-0.373507066
34.227,34.311,34.359,34.37,34.37,8.470215275,0.09368453,-0.385103708
34.302,34.405,34.46,34.47,34.47,8.522704447,0.084771062,-0.395595065
34.378,34.499,34.562,34.57,34.57,8.578528737,0.077523149,-0.404565247
34.454,34.593,34.663,34.67,34.67,8.635843961,0.07081771,-0.41266793
34.53,34.687,34.765,34.77,34.77,8.703829817,0.064560129,-0.41915399
34.606,34.781,34.866,34.87,34.87,8.774771454,0.059877737,-0.424839636
34.682,34.875,34.968,34.97,34.97,8.851315223,0.05728326,-0.429201304
34.758,34.969,35.07,35.07,35.07,8.940155826,0.055069032,-0.431543797
34.858,35.085,35.17,35.17,35.17,9.040051503,0.054325695,-0.43432677
